idx,file,date,burrow,id,sex,ball,trial,temp,flee_dis,release,react,retreat,full_retreat,t1,t2,t3,t4,fs1,fs2,fs3,fs4,speedc,angle,t_angle,orientation,bd_time,emergence,operator,vid_operator,note1,note2,train_emerg,chronic_burrow,mass,weigh_date,path_dist,n_trials_treatment
283,B265_T9S.MP4,12/04/2024,265,26W,female,steel,9,30,2.3,410,423,436,Y,431,NA,NA,NA,0.45,NA,NA,NA,1,38,38,head,2:18:00 PM,25.03,EG,RL,,,N,N,0.68,10/04/2024,0.900670202,10
284,B265_T10S.MP4,12/04/2024,265,26W,female,steel,10,28.6,2.1,430,440,451,Y,448,NA,NA,NA,0.45,NA,NA,NA,1,158,158,head,2:19:00 PM,31.88,EG,EG,,,N,N,0.68,10/04/2024,0.900670202,10
285,B531_T1S.MP4,12/04/2024,531,29W,male,steel,1,32.4,2.6,1019,958,973,Y,966,NA,NA,NA,0.45,NA,NA,NA,1,100,100,tail,2:50:00 PM,82.07,EG,MJ,Adjusted setup,,N,N,0.72,13/04/2024,0.539299698,10
286,B531_T2S.MP4,12/04/2024,531,29W,male,steel,2,27.1,2.8,339,286,305,Y,296,NA,NA,NA,0.36,NA,NA,NA,1,179,179,head,2:54:00 PM,19.99,EG,EG,Amended distance from video,,N,N,0.72,13/04/2024,0.539299698,10
287,B531_T3S.MP4,12/04/2024,531,29W,male,steel,3,36.4,2.7,554,538,577,Y,550,NA,NA,NA,0.3,NA,NA,NA,1,153,153,tail,2:56:00 PM,32.73,EG,RL,Amended distance from video,,N,N,0.72,13/04/2024,0.539299698,10
288,B531_T4S.MP4,12/04/2024,531,29W,male,steel,4,28.3,3,485,436,470,Y,448,470,NA,NA,0.3,0.11,NA,NA,2,8,8,head,2:57:00 PM,20.49,EG,EG,,,N,N,0.72,13/04/2024,0.539299698,10
289,B531_T5S.MP4,12/04/2024,531,29W,male,steel,5,27.9,2,613,626,637,Y,634,NA,NA,NA,0.45,NA,NA,NA,1,14,14,head,2:58:00 PM,30,EG,MJ,,,N,N,0.72,13/04/2024,0.539299698,10
290,B531_T6S.MP4,12/04/2024,531,29W,male,steel,6,29,2,318,331,344,Y,339,NA,NA,NA,0.45,NA,NA,NA,1,4,4,head,3:00:00 PM,25.77,EG,EG,,,N,N,0.72,13/04/2024,0.539299698,10
291,B531_T7S.MP4,12/04/2024,531,29W,male,steel,7,30.6,1.8,472,488,506,Y,495,NA,NA,NA,0.51,NA,NA,NA,1,23,23,head,3:01:00 PM,27.27,EG,RL,,,N,N,0.72,13/04/2024,0.539299698,10
292,B531_T8S.MP4,12/04/2024,531,29W,male,steel,8,24,1.5,584,597,609,Y,609,NA,NA,NA,0.3,NA,NA,NA,1,12,12,head,3:02:00 PM,38.61,EG,EG,,,Y,N,0.72,13/04/2024,0.539299698,10
293,B531_T9S.MP4,12/04/2024,531,29W,male,steel,9,30.1,3.6,1143,1154,1169,Y,1160,1166,NA,NA,0.6,0.3,NA,NA,2,165,165,tail,3:06:00 PM,25.47,EG,MJ,,,N,N,0.72,13/04/2024,0.539299698,10
294,B531_T10S.MP4,12/04/2024,531,29W,male,steel,10,32.2,2.5,1106,1117,1134,Y,1124,NA,NA,NA,0.51,NA,NA,NA,1,7,7,head,3:07:00 PM,13.79,EG,EG,Amended distance from video,,N,N,0.72,13/04/2024,0.539299698,10
295,B787_T1S.MP4,12/04/2024,787,10W,male,steel,1,17.8,2.8,928,909,924,Y,918,924,NA,NA,0.4,0.24,NA,NA,2,26,26,head,12:25:00 PM,39.45,EG,RL,,,N,N,0.5,04/04/2024,1.274202703,10
296,B787_T2S.MP4,12/04/2024,787,10W,male,steel,2,17.7,3,898,854,877,Y,865,877,NA,NA,0.33,0.16,NA,NA,2,18,18,head,12:27:00 PM,27.47,EG,EG,,,N,N,0.5,04/04/2024,1.274202703,10
297,B787_T3S.MP4,12/04/2024,787,10W,male,steel,3,18.3,3.5,687,670,689,Y,676,684,NA,NA,0.6,0.26,NA,NA,2,8,8,head,12:28:00 PM,27.52,EG,MJ,,,N,N,0.5,04/04/2024,1.274202703,10
298,B787_T4S.MP4,12/04/2024,787,10W,male,steel,4,17.8,3,677,680,702,Y,690,702,NA,NA,0.36,0.16,NA,NA,2,15,15,head,12:30:00 PM,17.4,EG,EG,,,N,N,0.5,04/04/2024,1.274202703,10
299,B787_T5S.MP4,12/04/2024,787,10W,male,steel,5,17.7,3,915,879,895,Y,887,895,NA,NA,0.45,0.23,NA,NA,2,18,18,head,12:31:00 PM,23.11,EG,RL,,,N,N,0.5,04/04/2024,1.274202703,10
300,B787_T6S.MP4,12/04/2024,787,10W,male,steel,6,18.1,3.5,528,488,535,Y,505,535,NA,NA,0.21,0.08,NA,NA,2,14,14,head,12:33:00 PM,32.44,EG,EG,Amended distance from video,,N,N,0.5,04/04/2024,1.274202703,10
301,B787_T7S.MP4,12/04/2024,787,10W,male,steel,7,17.2,4.5,1031,1017,1114,N,1029,1089,1114,NA,0.3,0.05,0.04,NA,3,173,173,tail,12:42:00 PM,10.25,EG,MJ,,,N,N,0.5,04/04/2024,1.274202703,10
302,B787_T8S.MP4,12/04/2024,787,10W,male,steel,8,17.1,3.6,455,405,482,Y,417,467,NA,NA,0.3,0.06,NA,NA,2,10,10,head,12:43:00 PM,34.37,EG,EG,,,N,N,0.5,04/04/2024,1.274202703,10
303,B787_T9S.MP4,12/04/2024,787,10W,male,steel,9,17,4.5,540,499,533,Y,509,521,NA,NA,0.36,0.16,NA,NA,2,15,15,head,12:46:00 PM,26.6,EG,RL,,,Y,N,0.5,04/04/2024,1.274202703,10
304,B787_T10S.MP4,12/04/2024,787,10W,male,steel,10,17,3.5,494,474,510,Y,486,503,NA,NA,0.3,0.12,NA,NA,2,7,7,head,12:47:00 PM,28.54,EG,EG,,,N,N,0.5,04/04/2024,1.274202703,10
305,B646_T1S.MP4,13/04/2024,646,25W,female,steel,1,24.4,4.2,1419,1426,1451,Y,1433,1441,NA,NA,0.51,0.24,NA,NA,2,153,153,tail,12:49:00 PM,50.12,RL,MJ,,,N,N,0.54,10/04/2024,0.854538416,10
306,B646_T2S.MP4,13/04/2024,646,25W,female,steel,2,26.3,4.6,656,660,670,Y,666,674,679,NA,0.6,0.26,0.19,NA,3,136,136,tail,12:52:00 PM,32.49,RL,EG,,,N,N,0.54,10/04/2024,0.854538416,10
307,B646_T3S.MP4,13/04/2024,646,25W,female,steel,3,21.5,5,548,538,683,Y,572,585,611,NA,0.11,0.08,0.05,NA,3,155,155,tail,12:56:00 PM,48.9,RL,RL,,,N,N,0.54,10/04/2024,0.854538416,10
308,B646_T4S.MP4,13/04/2024,646,25W,female,steel,4,22.9,4.9,388,395,459,Y,402,411,421,NA,0.51,0.23,0.14,NA,3,166,166,tail,12:59:00 PM,47.96,RL,EG,,,N,N,0.54,10/04/2024,0.854538416,10
309,B646_T5S.MP4,13/04/2024,646,25W,female,steel,5,21.8,5.5,347,353,395,Y,361,369,379,NA,0.45,0.23,0.14,NA,3,161,161,tail,1:02:00 PM,47.36,RL,MJ,,,N,N,0.54,10/04/2024,0.854538416,10
310,B646_T6S.MP4,13/04/2024,646,25W,female,steel,6,20.3,4.5,670,676,727,Y,687,701,727,NA,0.33,0.14,0.07,NA,3,166,166,tail,1:04:00 PM,51.68,RL,EG,,,N,N,0.54,10/04/2024,0.854538416,10
311,B646_T7S.MP4,13/04/2024,646,25W,female,steel,7,20.3,3.8,198,209,240,Y,215,223,NA,NA,0.6,0.26,NA,NA,2,150,150,tail,1:06:00 PM,49.22,RL,RL,,,N,N,0.54,10/04/2024,0.854538416,10
312,B646_T8S.MP4,13/04/2024,646,25W,female,steel,8,22.3,4.5,157,157,200,Y,180,188,200,NA,0.16,0.12,0.08,NA,3,174,174,tail,1:07:00 PM,47.76,RL,EG,,,N,N,0.54,10/04/2024,0.854538416,10
313,B646_T9S.MP4,13/04/2024,646,25W,female,steel,9,23.7,4,914,910,NA,N,932,NA,NA,NA,0.16,NA,NA,NA,2,64,64,head,1:08:00 PM,28.49,RL,MJ,,,N,N,0.54,10/04/2024,0.854538416,10
314,B646_T10S.MP4,13/04/2024,646,25W,female,steel,10,25.2,5.2,330,255,354,Y,265,280,349,NA,0.36,0.14,0.04,NA,3,17,17,head,1:11:00 PM,41.07,RL,EG,,,N,N,0.54,10/04/2024,0.854538416,10
315,B365_T1S.MP4,14/04/2024,365,34W,female,steel,1,24.1,1.8,996,951,966,Y,961,NA,NA,NA,0.36,NA,NA,NA,1,30,45,head,4:15:00 PM,192.26,RL,RL,,,N,N,0.74,15/04/2024,0.978166054,4
316,B365_T2S.MP4,14/04/2024,365,34W,female,steel,2,24.9,2,451,382,398,Y,393,NA,NA,NA,0.33,NA,NA,NA,1,22,22,head,4:20:00 PM,115.82,RL,EG,,,N,N,0.74,15/04/2024,0.978166054,4
317,B365_T3S.MP4,14/04/2024,365,34W,female,steel,3,24.7,2,938,886,899,Y,893,NA,NA,NA,0.51,NA,NA,NA,1,35,35,head,4:23:00 PM,69.59,RL,MJ,,,N,N,0.74,15/04/2024,0.978166054,4
318,B365_T4S.MP4,14/04/2024,365,34W,female,steel,4,22.7,2.4,965,901,915,Y,908,NA,NA,NA,0.51,NA,NA,NA,1,19,19,head,4:25:00 PM,72.5,RL,EG,,,N,N,0.74,15/04/2024,0.978166054,4
319,B446_T1S.MP4,14/04/2024,446,45W,female,steel,1,23.5,4,718,728,769,Y,738,749,NA,NA,0.36,0.17,NA,NA,2,180,140,tail,12:12:00 PM,43.25,EG,RL,Amended distance from video,,N,Y,0.94,14/04/2024,0.432891605,10
320,B446_T2S.MP4,14/04/2024,446,45W,female,steel,2,21.9,4,652,655,689,Y,665,678,NA,NA,0.36,0.16,NA,NA,2,149,149,tail,12:15:00 PM,38.6,EG,EG,,,N,N,0.94,14/04/2024,0.432891605,10
321,B446_T3S.MP4,14/04/2024,446,45W,female,steel,3,18.7,2.5,591,602,617,Y,610,NA,NA,NA,0.45,NA,NA,NA,1,24,24,head,12:19:00 PM,25.82,EG,MJ,,,N,N,0.94,14/04/2024,0.432891605,10
322,B446_T4S.MP4,14/04/2024,446,45W,female,steel,4,20,3,493,507,521,Y,514,521,NA,NA,0.51,0.26,NA,NA,2,8,8,head,12:21:00 PM,33.79,EG,EG,Amended distance from video,,N,N,0.94,14/04/2024,0.432891605,10
323,B446_T5S.MP4,14/04/2024,446,45W,female,steel,5,25,4.2,492,430,473,Y,441,451,NA,NA,0.33,0.17,NA,NA,2,4,4,head,12:24:00 PM,25.95,EG,RL,,,N,N,0.94,14/04/2024,0.432891605,10
324,B446_T6S.MP4,14/04/2024,446,45W,female,steel,6,23.3,2.4,306,322,335,Y,330,NA,NA,NA,0.45,NA,NA,NA,1,16,16,head,12:25:00 PM,28.04,EG,MJ,,,N,N,0.94,14/04/2024,0.432891605,10
325,B446_T7S.MP4,14/04/2024,446,45W,female,steel,7,23.7,2.6,290,307,325,Y,313,NA,NA,NA,0.6,NA,NA,NA,1,7,7,head,12:26:00 PM,26.87,EG,RL,Amended distance from video,,N,N,0.94,14/04/2024,0.432891605,10
326,B446_T8S.MP4,14/04/2024,446,45W,female,steel,8,23.8,3.5,436,450,468,Y,456,463,NA,NA,0.6,0.28,NA,NA,2,45,45,head,12:28:00 PM,21.86,EG,EG,,,N,N,0.94,14/04/2024,0.432891605,10
327,B446_T9S.MP4,14/04/2024,446,45W,female,steel,9,21.1,3,356,370,383,Y,377,383,NA,NA,0.51,0.28,NA,NA,2,105,114,tail,12:30:00 PM,24.93,EG,MJ,,,N,N,0.94,14/04/2024,0.432891605,10
328,B446_T10S.MP4,14/04/2024,446,45W,female,steel,10,20.7,2.6,718,734,745,Y,740,NA,NA,NA,0.6,NA,NA,NA,1,3,3,head,12:31:00 PM,26.3,EG,EG,,,N,N,0.94,14/04/2024,0.432891605,10
329,B450_T1S.MP4,14/04/2024,450,44W,male,steel,1,27.6,2.5,656,592,625,Y,602,NA,NA,NA,0.36,NA,NA,NA,1,156,120,tail,12:54:00 PM,146.39,EG,RL,Amended distance from video,,N,Y,0.81,15/04/2024,0.362078518,10
330,B450_T2S.MP4,14/04/2024,450,44W,male,steel,2,23.8,2.1,406,354,385,Y,362,NA,NA,NA,0.45,NA,NA,NA,1,31,31,head,12:58:00 PM,28.95,EG,MJ,,,N,N,0.81,15/04/2024,0.362078518,10
331,B450_T3S.MP4,14/04/2024,450,44W,male,steel,3,25.2,3,377,389,402,Y,396,NA,NA,NA,0.51,NA,NA,NA,1,30,30,head,1:00:00 PM,54.52,EG,RL,,,N,N,0.81,15/04/2024,0.362078518,10
332,B450_T4S.MP4,14/04/2024,450,44W,male,steel,4,24.4,2,661,590,615,Y,605,NA,NA,NA,0.24,NA,NA,NA,1,45,45,head,1:02:00 PM,98.77,EG,EG,,,N,N,0.81,15/04/2024,0.362078518,10
333,B450_T5S.MP4,14/04/2024,450,44W,male,steel,5,22.2,2.2,507,520,535,Y,525,NA,NA,NA,0.72,NA,NA,NA,1,11,11,head,1:05:00 PM,256.15,EG,MJ,,Snake during re-emergence,N,N,0.81,15/04/2024,0.362078518,10
334,B450_T6S.MP4,14/04/2024,450,44W,male,steel,6,25.5,2.5,686,699,735,Y,706,NA,NA,NA,0.51,NA,NA,NA,1,40,40,head,1:13:00 PM,64.61,EG,EG,Amended distance from video,,N,N,0.81,15/04/2024,0.362078518,10
335,B450_T7S.MP4,14/04/2024,450,44W,male,steel,7,25.7,2.6,441,437,473,Y,444,NA,NA,NA,0.51,NA,NA,NA,1,150,150,tail,1:16:00 PM,184.89,EG,RL,Adjusted setup,,N,N,0.81,15/04/2024,0.362078518,10
336,B450_T8S.MP4,14/04/2024,450,44W,male,steel,8,26,1.5,672,681,695,Y,695,NA,NA,NA,0.26,NA,NA,NA,1,18,18,head,1:24:00 PM,122.11,EG,MJ,,,N,N,0.81,15/04/2024,0.362078518,10
337,B450_T9S.MP4,14/04/2024,450,44W,male,steel,9,27.6,2.2,690,704,731,Y,723,NA,NA,NA,0.19,NA,NA,NA,1,25,25,head,1:28:00 PM,245.4,EG,RL,Adjusted setup,,N,N,0.81,15/04/2024,0.362078518,10
338,B450_T10S.MP4,14/04/2024,450,44W,male,steel,10,24.3,2.7,781,740,772,Y,753,NA,NA,NA,0.28,NA,NA,NA,1,15,15,head,1:35:00 PM,122.75,EG,EG,,,N,N,0.81,15/04/2024,0.362078518,10
339,B452_T1S.MP4,14/04/2024,452,43W,female,steel,1,23.2,2.4,1489,1421,1446,Y,1435,NA,NA,NA,0.26,NA,NA,NA,1,106.5,106.6,tail,11:17:00 AM,25.97,EG,MJ,,,N,Y,0.67,03/04/2024,0.670392549,9
340,B452_T2S.MP4,14/04/2024,452,43W,female,steel,2,23.5,2.5,574,519,549,Y,533,NA,NA,NA,0.26,NA,NA,NA,1,129,129,tail,11:19:00 AM,23.16,EG,EG,Amended distance from video,,N,N,0.67,03/04/2024,0.670392549,9
341,B452_T3S.MP4,14/04/2024,452,43W,female,steel,3,21.6,3.3,592,527,556,Y,536,546,NA,NA,0.4,0.19,NA,NA,1,36,36,head,11:20:00 AM,21.59,EG,RL,,,N,N,0.67,03/04/2024,0.670392549,9
342,B452_T4S.MP4,14/04/2024,452,43W,female,steel,4,22.6,2,384,324,356,Y,337,NA,NA,NA,0.28,NA,NA,NA,1,19,19,head,11:21:00 AM,26.77,EG,MJ,,,N,N,0.67,03/04/2024,0.670392549,9
343,B452_T5S.MP4,14/04/2024,452,43W,female,steel,5,16.8,2.3,339,275,291,Y,283,NA,NA,NA,0.45,NA,NA,NA,1,18,16,head,11:25:00 AM,20.45,EG,RL,,,N,N,0.67,03/04/2024,0.670392549,9
344,B452_T6S.MP4,14/04/2024,452,43W,female,steel,6,19.7,1.7,340,299,319,Y,313,NA,NA,NA,0.26,NA,NA,NA,1,23,23,head,11:26:00 AM,20.49,EG,EG,,,N,N,0.67,03/04/2024,0.670392549,9
345,B452_T7S.MP4,14/04/2024,452,43W,female,steel,7,22.7,2.5,626,576,604,Y,587,NA,NA,NA,0.33,NA,NA,NA,1,136,136,tail,11:30:00 AM,20.62,EG,MJ,,,Y,N,0.67,03/04/2024,0.670392549,9
346,B452_T8S.MP4,14/04/2024,452,43W,female,steel,8,20.1,2.5,373,316,361,Y,330,NA,NA,NA,0.26,NA,NA,NA,1,25,54,head,11:31:00 AM,21.01,EG,EG,,,N,N,0.67,03/04/2024,0.670392549,9
347,B452_T9S.MP4,14/04/2024,452,43W,female,steel,9,20.7,2.5,301,249,286,Y,265,NA,NA,NA,0.23,NA,NA,NA,1,24,40,head,11:32:00 AM,34.14,EG,RL,10 mins between,,N,N,0.67,03/04/2024,0.670392549,9
358,B025_T1S.MP4,17/04/2024,25,NA,female,steel,1,25.8,3.7,992,943,967,Y,952,960,NA,NA,0.4,0.21,NA,NA,2,168,168,tail,2:35:00 PM,38.09,EG,EG,,,N,Y,0.91,18/04/2024,0.84,10
359,B025_T2S.MP4,17/04/2024,25,NA,female,steel,2,23.4,3.4,570,510,553,Y,517,525,NA,NA,0.51,0.24,NA,NA,2,170,150,tail,2:42:00 PM,43.64,EG,RL,Adjusted setup,,N,N,0.91,18/04/2024,0.84,10
360,B025_T3S.MP4,17/04/2024,25,NA,female,steel,3,20.1,3,1028,992,1010,Y,1001,1010,NA,NA,0.4,0.2,NA,NA,2,169,169,tail,2:47:00 PM,46.55,EG,MJ,,,N,N,0.91,18/04/2024,0.84,10
361,B025_T4S.MP4,17/04/2024,25,NA,female,steel,4,22.9,2,568,512,530,Y,522,NA,NA,NA,0.36,NA,NA,NA,1,64,64,head,2:52:00 PM,45.21,EG,RL,,,N,N,0.91,18/04/2024,0.84,10
362,B025_T5S.MP4,17/04/2024,25,NA,female,steel,5,23.9,3.7,779,718,800,Y,734,759,NA,NA,0.23,0.09,NA,NA,2,137,137,tail,2:54:00 PM,47.67,EG,EG,,,N,N,0.91,18/04/2024,0.84,10
363,B025_T6S.MP4,17/04/2024,25,NA,female,steel,6,25.5,2,545,560,574,Y,570,NA,NA,NA,0.36,NA,NA,NA,1,67,67,head,2:57:00 PM,117.53,EG,MJ,,,N,N,0.91,18/04/2024,0.84,10
364,B025_T7S.MP4,17/04/2024,25,NA,female,steel,7,22,2.7,433,371,406,Y,381,NA,NA,NA,0.36,NA,NA,NA,1,35,35,head,3:00:00 PM,73.7,EG,EG,,,N,N,0.91,18/04/2024,0.84,10
365,B025_T8S.MP4,17/04/2024,25,NA,female,steel,8,24.8,3.3,584,598,627,Y,605,612,NA,NA,0.51,0.26,NA,NA,2,140,100,tail,3:07:00 PM,35.57,EG,RL,,,Y,N,0.91,18/04/2024,0.84,10
366,B025_T9S.MP4,17/04/2024,25,NA,female,steel,9,22.7,2.5,570,580,596,Y,587,NA,NA,NA,0.51,NA,NA,NA,1,33,33,head,3:09:00 PM,22.23,EG,MJ,,,N,N,0.91,18/04/2024,0.84,10
367,B025_T10S.MP4,17/04/2024,25,NA,female,steel,10,23,2.7,611,626,643,Y,634,NA,NA,NA,0.45,NA,NA,NA,1,40,40,head,3:10:00 PM,25.9,EG,RL,,,N,N,0.91,18/04/2024,0.84,10
372,B400_T1S.MP4,17/04/2024,400,NA,female,steel,1,18.7,3.1,345,328,366,Y,352,366,NA,NA,0.15,0.09,NA,NA,2,49,49,head,1:30:00 PM,33.41,RL,MJ,,,N,N,0.69,19/04/2024,0.883101176,10
373,B400_T2S.MP4,17/04/2024,400,NA,female,steel,2,18.9,3.2,482,497,567,Y,540,561,NA,NA,0.08,0.06,NA,NA,2,50,50,head,1:33:00 PM,58.26,RL,RL,,,N,N,0.69,19/04/2024,0.883101176,10
374,B400_T3S.MP4,17/04/2024,400,NA,female,steel,3,18.5,3,526,541,618,Y,597,618,NA,NA,0.06,0.05,NA,NA,2,14,14,head,1:34:00 PM,30.88,RL,EG,Amended distance from video,,N,N,0.69,19/04/2024,0.883101176,10
375,B400_T4S.MP4,17/04/2024,400,NA,female,steel,4,20.5,3.2,1295,1304,1353,Y,1327,1349,NA,NA,0.16,0.08,NA,NA,2,39,39,head,1:36:00 PM,34.34,RL,MJ,,,N,N,0.69,19/04/2024,0.883101176,10
376,B400_T5S.MP4,17/04/2024,400,NA,female,steel,5,25.6,3.7,580,591,636,Y,610,628,NA,NA,0.19,0.1,NA,NA,2,26,26,head,1:38:00 PM,39.16,RL,EG,,,N,N,0.69,19/04/2024,0.883101176,10
377,B400_T6S.MP4,17/04/2024,400,NA,female,steel,6,27.7,3.9,1056,1017,1156,Y,1035,1146,NA,NA,0.2,0.03,NA,NA,2,18,10,head,1:39:00 PM,31.39,RL,RL,,,N,N,0.69,19/04/2024,0.883101176,10
378,B400_T7S.MP4,17/04/2024,400,NA,female,steel,7,24.6,2.5,346,354,396,Y,367,NA,NA,NA,0.28,NA,NA,NA,1,97,97,tail,1:41:00 PM,29.5,RL,MJ,,,N,N,0.69,19/04/2024,0.883101176,10
379,B400_T8S.MP4,17/04/2024,400,NA,female,steel,8,26.4,3.4,9716,9694,9760,Y,9714,9750,NA,NA,0.18,0.06,NA,NA,2,10,10,head,1:43:00 PM,32.43,RL,RL,,,N,N,0.69,19/04/2024,0.883101176,10
380,B400_T9S.MP4,17/04/2024,400,NA,female,steel,9,27.1,3.6,303,303,337,Y,317,337,NA,NA,0.26,0.11,NA,NA,2,16,16,head,1:44:00 PM,29.79,RL,EG,,,N,N,0.69,19/04/2024,0.883101176,10
381,B400_T10S.MP4,17/04/2024,400,NA,female,steel,10,26.9,2.7,1014,977,1040,Y,1000,NA,NA,NA,0.16,NA,NA,NA,1,100,100,tail,1:45:00 PM,25.44,RL,MJ,,,N,N,0.69,19/04/2024,0.883101176,10
397,B729_T1S.MP4,17/04/2024,729,NA,male,steel,1,19.4,2.4,996,973,986,Y,981,NA,NA,NA,0.45,NA,NA,NA,1,23,23,head,1:51:00 PM,27.41,EG,RL,,,N,N,0.85,18/04/2024,0.174072574,10
398,B729_T2S.MP4,17/04/2024,729,NA,male,steel,2,18.9,2.4,809,820,859,Y,833,NA,NA,NA,0.28,NA,NA,NA,1,35,35,head,1:52:00 PM,34.53,EG,EG,,,N,N,0.85,18/04/2024,0.174072574,10
399,B729_T3S.MP4,17/04/2024,729,NA,male,steel,3,27,3.5,763,753,796,Y,773,786,NA,NA,0.18,0.11,NA,NA,2,39,39,head,1:56:00 PM,18.67,EG,MJ,,,N,N,0.85,18/04/2024,0.174072574,10
400,B729_T4S.MP4,17/04/2024,729,NA,male,steel,4,27.2,3,516,503,527,Y,512,527,NA,NA,0.4,0.15,NA,NA,2,16,16,head,1:57:00 PM,19.51,EG,EG,,,N,N,0.85,18/04/2024,0.174072574,10
401,B729_T5S.MP4,17/04/2024,729,NA,male,steel,5,28.4,2.9,452,444,460,Y,452,NA,NA,NA,0.45,NA,NA,NA,1,17,17,head,1:58:00 PM,15.4,EG,RL,Adjusted setup,,N,N,0.85,18/04/2024,0.174072574,10
402,B729_T6S.MP4,17/04/2024,729,NA,male,steel,6,25.7,2,753,737,755,Y,749,NA,NA,NA,0.3,NA,NA,NA,1,35,35,head,2:01:00 PM,14.28,EG,MJ,,,N,N,0.85,18/04/2024,0.174072574,10
403,B729_T7S.MP4,17/04/2024,729,NA,male,steel,7,24.5,2.5,510,455,488,Y,471,NA,NA,NA,0.23,NA,NA,NA,1,20,20,head,2:02:00 PM,27.83,EG,RL,,,Y,N,0.85,18/04/2024,0.174072574,10
404,B729_T8S.MP4,17/04/2024,729,NA,male,steel,8,26.4,2.6,719,722,753,Y,732,NA,NA,NA,0.36,NA,NA,NA,1,15,15,head,2:04:00 PM,16.7,EG,EG,,,N,N,0.85,18/04/2024,0.174072574,10
405,B729_T9S.MP4,17/04/2024,729,NA,male,steel,9,26.4,3,561,527,631,Y,581,631,NA,NA,0.07,0.03,NA,NA,2,7,53,head,2:05:00 PM,15.45,EG,MJ,,,N,N,0.85,18/04/2024,0.174072574,10
406,B729_T10S.MP4,17/04/2024,729,NA,male,steel,10,25.9,2,383,362,417,Y,408,NA,NA,NA,0.08,NA,NA,NA,1,75,75,head,2:06:00 PM,21.64,EG,EG,Amended distance from video,,N,N,0.85,18/04/2024,0.174072574,10
417,B010_T1S.MP4,18/04/2024,10,NA,male,steel,1,14.9,2.2,646,590,631,Y,612,NA,NA,NA,0.16,NA,NA,NA,1,96,96,tail,10:37:00 AM,60.92,EG,MJ,,,Y,N,0.56,03/04/2024,0.351720005,5
418,B010_T2S.MP4,18/04/2024,10,NA,male,steel,2,12.5,2.3,729,675,732,Y,690,NA,NA,NA,0.24,NA,NA,NA,1,28,28,tail,10:43:00 AM,45.77,EG,EG,Amended distance from video,,N,N,0.56,03/04/2024,0.351720005,5
419,B010_T3S.MP4,18/04/2024,10,NA,male,steel,3,19.4,1.7,944,891,979,Y,908,NA,NA,NA,0.21,NA,NA,NA,1,100,100,tail,10:45:00 AM,64.29,EG,RL,Amended distance from video,,N,N,0.56,03/04/2024,0.351720005,5
420,B010_T4S.MP4,18/04/2024,10,NA,male,steel,4,16.5,1.5,478,492,502,Y,502,NA,NA,NA,0.36,NA,NA,NA,1,26,26,head,10:47:00 AM,53.66,EG,MJ,Adjusted setup,,N,N,0.56,03/04/2024,0.351720005,5
421,B010_T5S.MP4,18/04/2024,10,NA,male,steel,5,14.1,1.5,772,788,900,Y,900,NA,NA,NA,0.03,NA,NA,NA,1,20,20,tail,10:52:00 AM,64.21,EG,RL,10 mins between,,N,N,0.56,03/04/2024,0.351720005,5
432,B219_T1S.MP4,18/04/2024,219,NA,female,steel,1,26,2.4,339,297,311,Y,303,NA,NA,NA,0.6,NA,NA,NA,1,28,28,head,3:29:00 PM,98.87,RL,MJ,,,N,N,0.79,19/04/2024,0.561349412,10
433,B219_T2S.MP4,18/04/2024,219,NA,female,steel,2,24.2,2.9,838,770,786,Y,778,NA,NA,NA,0.45,NA,NA,NA,1,25,25,head,3:32:00 PM,105.82,RL,RL,,,N,N,0.79,19/04/2024,0.561349412,10
434,B219_T3S.MP4,18/04/2024,219,NA,female,steel,3,30.4,4,676,636,663,Y,645,651,NA,NA,0.4,0.24,NA,NA,3,170,170,tail,3:36:00 PM,80.95,RL,EG,,,N,N,0.79,19/04/2024,0.561349412,10
435,B219_T4S.MP4,18/04/2024,219,NA,female,steel,4,29.2,3.3,709,673,703,Y,686,701,NA,NA,0.28,0.13,NA,NA,2,54,54,head,3:39:00 PM,76.67,RL,MJ,,,N,N,0.79,19/04/2024,0.561349412,10
436,B219_T5S.MP4,18/04/2024,219,NA,female,steel,5,30.3,2.8,171,148,167,Y,156,NA,NA,NA,0.45,NA,NA,NA,1,10,10,head,3:41:00 PM,93.63,RL,EG,Amended distance from video,,N,N,0.79,19/04/2024,0.561349412,10
437,B219_T6S.MP4,18/04/2024,219,NA,female,steel,6,28.7,2.5,1498,1433,1477,Y,1442,NA,NA,NA,0.4,NA,NA,NA,1,128,128,tail,3:46:00 PM,75.57,RL,RL,,,N,N,0.79,19/04/2024,0.561349412,10
438,B219_T7S.MP4,18/04/2024,219,NA,female,steel,7,28.5,2.4,409,395,408,Y,401,NA,NA,NA,0.6,NA,NA,NA,1,43,43,head,3:48:00 PM,111.1,RL,MJ,,,N,N,0.79,19/04/2024,0.561349412,10
439,B219_T8S.MP4,18/04/2024,219,NA,female,steel,8,29.7,3.8,731,690,724,Y,700,713,NA,NA,0.36,0.16,NA,NA,2,27,27,head,3:52:00 PM,61.54,RL,RL,,,N,N,0.79,19/04/2024,0.561349412,10
440,B219_T9S.MP4,18/04/2024,219,NA,female,steel,9,27.7,1.6,1264,1205,1219,Y,1219,NA,NA,NA,0.26,NA,NA,NA,1,147,147,tail,3:56:00 PM,60.56,RL,EG,,,N,N,0.79,19/04/2024,0.561349412,10
